year,country,per_million
1986,TN,-0.7989607119059527
1986,TR,-16.99632318859641
1986,TZ,9883.949988901102
1986,UG,-10080.292211149399
1986,UY,-35.301437989230095
1986,VE,25.60028209284755
1986,VN,-4963.866620192866
1986,XK,0.0
1986,YE,488.5302880471913
1986,ZA,-984.7763711299023
1986,ZM,19332.959216004783
1986,ZW,6825.824499329059
1987,AF,-479166.6974563759
1987,AL,-61.29189698421166
1987,AM,-60.25593709280167
1987,AO,-26742.363437921078
1987,AR,-1.5003284921350706
1987,BD,-0.020336816524973118
1987,BF,17.198862958600003
1987,BG,-15.382284891285702
1987,BH,5256.4408104719
1987,BI,16153.421111301801
1987,BJ,643.8435874611903
1987,BO,-0.15468545331809577
1987,BR,-0.007078468962272666
1987,BW,3875.619505913879
1987,BZ,57365.76411197797
